id_batterie;date_production;capacité;tension;fabricant
AF001;01/01/2025;85.5;400;Beta
AF002;02/01/2025;90.0;405;Beta
AF003;03/01/2025;82.3;398;Beta
AF004;04/01/2025;88.1;402;Beta
AF005;05/01/2025;87.0;401;Beta
AF006;06/01/2025;89.2;399;Beta
AF007;07/01/2025;84.5;403;Beta
AF008;08/01/2025;91.0;407;Beta
AF009;09/01/2025;83.3;396;Beta
AF010;10/01/2025;86.5;400;Beta
AF011;11/01/2025;88.0;402;Beta
AF012;12/01/2025;85.9;401;Beta
AF013;13/01/2025;87.2;404;Beta
AF014;14/01/2025;89.5;406;Beta
AF015;15/01/2025;90.1;405;Beta
