battery_id,prod_date,capacity_kWh,voltage,manufacturer
AM001,2025-01-01,85.5,400.0,Gamma
AM002,2025-01-02,,405.0,Gamma
AM003,2025-01-03,82.3,,Gamma
AM004,2025-01-04,88.1,402.0,Gamma
AM005,2025-01-05,87.0,401.0,Gamma
AM006,2025-01-06,89.2,399.0,Gamma
AM007,2025-01-07,,403.0,Gamma
AM008,2025-01-08,91.0,407.0,Gamma
AM009,2025-01-09,83.3,396.0,Gamma
AM010,2025-01-10,86.5,400.0,Gamma
AM011,2025-01-11,88.0,402.0,Gamma
AM012,2025-01-12,85.9,401.0,Gamma
AM013,2025-01-13,87.2,404.0,Gamma
AM014,2025-01-14,89.5,406.0,Gamma
AM015,2025-01-15,90.1,405.0,Gamma
