ID,DateProd,Capacité,Voltage,V_unit,Fab
AS001,01-01-2025,85.5,400,V,Delta
AS002,02-01-2025,90.0,405,V,Delta
AS003,03-01-2025,82.3,398,V,Delta
AS004,04-01-2025,88.1,402,V,Delta
AS005,05-01-2025,87.0,401,V,Delta
AS006,06-01-2025,89.2,399,V,Delta
AS007,07-01-2025,84.5,403,V,Delta
AS008,08-01-2025,91.0,407,V,Delta
AS009,09-01-2025,83.3,396,V,Delta
AS010,10-01-2025,86.5,400,V,Delta
AS011,11-01-2025,88.0,402,V,Delta
AS012,12-01-2025,85.9,401,V,Delta
AS013,13-01-2025,87.2,404,V,Delta
AS014,14-01-2025,89.5,406,V,Delta
AS015,15-01-2025,90.1,405,V,Delta
