battery_id,production_date,capacity_kWh,voltage,manufacturer
EU001,2025-01-01,85.5,400,Alpha
EU002,2025-01-02,90.0,405,Alpha
EU003,2025-01-03,82.3,398,Alpha
EU004,2025-01-04,88.1,402,Alpha
EU005,2025-01-05,87.0,401,Alpha
EU006,2025-01-06,89.2,399,Alpha
EU007,2025-01-07,84.5,403,Alpha
EU008,2025-01-08,91.0,407,Alpha
EU009,2025-01-09,83.3,396,Alpha
EU010,2025-01-10,86.5,400,Alpha
EU011,2025-01-11,88.0,402,Alpha
EU012,2025-01-12,85.9,401,Alpha
EU013,2025-01-13,87.2,404,Alpha
EU014,2025-01-14,89.5,406,Alpha
EU015,2025-01-15,90.1,405,Alpha
