capacity_kWh,region,production_date,manufacturer,voltage,battery_id
85.5,africa,2025-01-01,Beta,400.0,AF001
90.0,africa,2025-01-02,Beta,405.0,AF002
82.3,africa,2025-01-03,Beta,398.0,AF003
88.1,africa,2025-01-04,Beta,402.0,AF004
87.0,africa,2025-01-05,Beta,401.0,AF005
89.2,africa,2025-01-06,Beta,399.0,AF006
84.5,africa,2025-01-07,Beta,403.0,AF007
91.0,africa,2025-01-08,Beta,407.0,AF008
83.3,africa,2025-01-09,Beta,396.0,AF009
86.5,africa,2025-01-10,Beta,400.0,AF010
88.0,africa,2025-01-11,Beta,402.0,AF011
85.9,africa,2025-01-12,Beta,401.0,AF012
87.2,africa,2025-01-13,Beta,404.0,AF013
89.5,africa,2025-01-14,Beta,406.0,AF014
90.1,africa,2025-01-15,Beta,405.0,AF015
85.5,america,2025-01-01,Gamma,400.0,AM001
,america,2025-01-02,Gamma,405.0,AM002
82.3,america,2025-01-03,Gamma,,AM003
88.1,america,2025-01-04,Gamma,402.0,AM004
87.0,america,2025-01-05,Gamma,401.0,AM005
89.2,america,2025-01-06,Gamma,399.0,AM006
,america,2025-01-07,Gamma,403.0,AM007
91.0,america,2025-01-08,Gamma,407.0,AM008
83.3,america,2025-01-09,Gamma,396.0,AM009
86.5,america,2025-01-10,Gamma,400.0,AM010
88.0,america,2025-01-11,Gamma,402.0,AM011
85.9,america,2025-01-12,Gamma,401.0,AM012
87.2,america,2025-01-13,Gamma,404.0,AM013
89.5,america,2025-01-14,Gamma,406.0,AM014
90.1,america,2025-01-15,Gamma,405.0,AM015
85.5,asia,2025-01-01,Delta,400.0,AS001
90.0,asia,2025-01-02,Delta,405.0,AS002
82.3,asia,2025-01-03,Delta,398.0,AS003
88.1,asia,2025-01-04,Delta,402.0,AS004
87.0,asia,2025-01-05,Delta,401.0,AS005
89.2,asia,2025-01-06,Delta,399.0,AS006
84.5,asia,2025-01-07,Delta,403.0,AS007
91.0,asia,2025-01-08,Delta,407.0,AS008
83.3,asia,2025-01-09,Delta,396.0,AS009
86.5,asia,2025-01-10,Delta,400.0,AS010
88.0,asia,2025-01-11,Delta,402.0,AS011
85.9,asia,2025-01-12,Delta,401.0,AS012
87.2,asia,2025-01-13,Delta,404.0,AS013
89.5,asia,2025-01-14,Delta,406.0,AS014
90.1,asia,2025-01-15,Delta,405.0,AS015
85.5,europe,2025-01-01,Alpha,400.0,EU001
90.0,europe,2025-01-02,Alpha,405.0,EU002
82.3,europe,2025-01-03,Alpha,398.0,EU003
88.1,europe,2025-01-04,Alpha,402.0,EU004
87.0,europe,2025-01-05,Alpha,401.0,EU005
89.2,europe,2025-01-06,Alpha,399.0,EU006
84.5,europe,2025-01-07,Alpha,403.0,EU007
91.0,europe,2025-01-08,Alpha,407.0,EU008
83.3,europe,2025-01-09,Alpha,396.0,EU009
86.5,europe,2025-01-10,Alpha,400.0,EU010
88.0,europe,2025-01-11,Alpha,402.0,EU011
85.9,europe,2025-01-12,Alpha,401.0,EU012
87.2,europe,2025-01-13,Alpha,404.0,EU013
89.5,europe,2025-01-14,Alpha,406.0,EU014
90.1,europe,2025-01-15,Alpha,405.0,EU015
